工单ID,标题,描述,地址,维修类型,住户姓名,住户电话,状态,技工姓名,技工电话,预约开始,预约结束,创建时间,更新时间
41,REVIEW-EXPORT-1782007689618,review export flow,3?1??301,漏水维修,张三,13800000002,待派工,,,,,2026-06-21 02:08:09,2026-06-21 02:08:09
40,REVIEW-EXPORT-1782007657529,reviewer same-day export validation,9? 2?? 901,漏水维修,张三,13800000002,待派工,,,,,2026-06-21 02:07:37,2026-06-21 02:07:37
39,REVIEW-EXPORT-1781988285416,review export flow,3?1??301,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:44:45,2026-06-20 20:44:45
35,同日边界_凌晨工单,同日边界测试1,测试地址1,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:36:20,2026-06-20 20:36:20
36,同日边界_上午工单,同日边界测试2,测试地址2,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:36:20,2026-06-20 20:36:20
37,同日边界_下午工单,同日边界测试3,测试地址3,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:36:20,2026-06-20 20:36:20
38,同日边界_深夜工单,同日边界测试4,测试地址4,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:36:20,2026-06-20 20:36:20
31,同日边界_凌晨工单,同日边界测试1,测试地址1,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:34:45,2026-06-20 20:34:45
32,同日边界_上午工单,同日边界测试2,测试地址2,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:34:45,2026-06-20 20:34:45
33,同日边界_下午工单,同日边界测试3,测试地址3,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:34:45,2026-06-20 20:34:45
34,同日边界_深夜工单,同日边界测试4,测试地址4,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:34:45,2026-06-20 20:34:45
27,同日边界_凌晨工单,同日边界测试1,测试地址1,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:38,2026-06-20 20:32:38
28,同日边界_上午工单,同日边界测试2,测试地址2,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:38,2026-06-20 20:32:38
29,同日边界_下午工单,同日边界测试3,测试地址3,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:38,2026-06-20 20:32:38
30,同日边界_深夜工单,同日边界测试4,测试地址4,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:38,2026-06-20 20:32:38
23,同日边界_凌晨工单,同日边界测试1,测试地址1,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:14,2026-06-20 20:32:14
